ID_YPS,SPP,GENUS,SPECIES,FAMILY,LIANA,FOREST
BVVIROSE6,VIROSE,Virola,sebifera,Myristicaceae,0,Buena Vista
SRVIROSE1,VIROSE,Virola,sebifera,Myristicaceae,0,Santa Rita
SRVIROSE2,VIROSE,Virola,sebifera,Myristicaceae,0,Santa Rita
SRVIROSE3,VIROSE,Virola,sebifera,Myristicaceae,0,Santa Rita
SRVIROSE4,VIROSE,Virola,sebifera,Myristicaceae,0,Santa Rita
SRVIROSE5,VIROSE,Virola,sebifera,Myristicaceae,0,Santa Rita
SRVIROSE6,VIROSE,Virola,sebifera,Myristicaceae,0,Santa Rita
SHVIROSE1,VIROSE,Virola,sebifera,Myristicaceae,0,Sherman
SHVIROSE2,VIROSE,Virola,sebifera,Myristicaceae,0,Sherman
SHVIROSE3,VIROSE,Virola,sebifera,Myristicaceae,0,Sherman
SHVIROSE4,VIROSE,Virola,sebifera,Myristicaceae,0,Sherman
SHVIROSE5,VIROSE,Virola,sebifera,Myristicaceae,0,Sherman
SHVIROSE6,VIROSE,Virola,sebifera,Myristicaceae,0,Sherman
SHVIROEL1,VIROEL,Virola,elongata,Myristicaceae,0,Sherman
SHVIROEL2,VIROEL,Virola,elongata,Myristicaceae,0,Sherman
SHVIROEL3,VIROEL,Virola,elongata,Myristicaceae,0,Sherman
SHVIROEL4,VIROEL,Virola,elongata,Myristicaceae,0,Sherman
SHVIROEL5,VIROEL,Virola,elongata,Myristicaceae,0,Sherman
SHVIROEL6,VIROEL,Virola,elongata,Myristicaceae,0,Sherman
PPSTYLST1,STYLST,Stylogyne,turbacensis,Primulaceae,0,Panama Pacifico
PPSTYLST2,STYLST,Stylogyne,turbacensis,Primulaceae,0,Panama Pacifico
PPSTYLST3,STYLST,Stylogyne,turbacensis,Primulaceae,0,Panama Pacifico
PPSTYLST4,STYLST,Stylogyne,turbacensis,Primulaceae,0,Panama Pacifico
PPSTYLST5,STYLST,Stylogyne,turbacensis,Primulaceae,0,Panama Pacifico
PPSTYLST6,STYLST,Stylogyne,turbacensis,Primulaceae,0,Panama Pacifico
PMSTYLST1,STYLST,Stylogyne,turbacensis,Primulaceae,0,Metropolitano
PMSTYLST2,STYLST,Stylogyne,turbacensis,Primulaceae,0,Metropolitano
PMSTYLST3,STYLST,Stylogyne,turbacensis,Primulaceae,0,Metropolitano
PMSTYLST4,STYLST,Stylogyne,turbacensis,Primulaceae,0,Metropolitano
PMSTYLST5,STYLST,Stylogyne,turbacensis,Primulaceae,0,Metropolitano
PMSTYLST6,STYLST,Stylogyne,turbacensis,Primulaceae,0,Metropolitano
CHARDIPE1,ARDIPE,Ardisia,pellucida,Primulaceae,0,Charco
CHARDIPE2,ARDIPE,Ardisia,pellucida,Primulaceae,0,Charco
CHARDIPE3,ARDIPE,Ardisia,pellucida,Primulaceae,0,Charco
CHARDIPE4,ARDIPE,Ardisia,pellucida,Primulaceae,0,Charco
CHARDIPE5,ARDIPE,Ardisia,pellucida,Primulaceae,0,Charco
CHARDIPE6,ARDIPE,Ardisia,pellucida,Primulaceae,0,Charco
ANCAL1WA1,CAL1WA,Calycolpus,warszewiczianus,Myrtaceae,0,ANAM
ANCAL1WA2,CAL1WA,Calycolpus,warszewiczianus,Myrtaceae,0,ANAM
ANCAL1WA3,CAL1WA,Calycolpus,warszewiczianus,Myrtaceae,0,ANAM
ANCAL1WA4,CAL1WA,Calycolpus,warszewiczianus,Myrtaceae,0,ANAM
ANCAL1WA5,CAL1WA,Calycolpus,warszewiczianus,Myrtaceae,0,ANAM
ANCAL1WA6,CAL1WA,Calycolpus,warszewiczianus,Myrtaceae,0,ANAM
OLEUGEOE1,EUGEOE,Eugenia,oerstediana,Myrtaceae,0,Oleoducto
OLEUGEOE2,EUGEOE,Eugenia,oerstediana,Myrtaceae,0,Oleoducto
OLEUGEOE3,EUGEOE,Eugenia,oerstediana,Myrtaceae,0,Oleoducto
OLEUGEOE4,EUGEOE,Eugenia,oerstediana,Myrtaceae,0,Oleoducto
OLEUGEOE5,EUGEOE,Eugenia,oerstediana,Myrtaceae,0,Oleoducto
OLEUGEOE6,EUGEOE,Eugenia,oerstediana,Myrtaceae,0,Oleoducto
BVMYRCGA1,MYRCGA,Myrcia,gatunensis,Myrtaceae,0,Buena Vista
BVMYRCGA2,MYRCGA,Myrcia,gatunensis,Myrtaceae,0,Buena Vista
