trait,condition,model,axis,agreement_rate,cohen_kappa,n_compared,n_species,ceiling_kappa,roni_majority_frac,roni_distribution,trait_verdict
leaf_shape,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.6636,0.4457,107,107,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.5048,0.0689,105,105,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.9438,0.2620,89,89,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.7143,-0.0769,7,7,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.8814,0.0000,59,59,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.7890,0.3171,109,109,0.6779,0.7207,short:80;long:31,model_gap
pulvinus,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.5238,0.0000,21,21,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.7656,0.0410,64,64,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.8654,0.1727,52,52,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.6988,0.0000,83,83,0.0000,1.0000,woody:109,undecidable
stipules,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.4286,0.0000,7,7,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,1.0000,,99,99,0.0000,1.0000,absent:100,undecidable
venation,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.9444,-0.0078,108,108,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,1.0000,1.0000,5,5,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.5133,0.0506,113,113,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.6330,0.0548,109,109,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.8230,0.2834,113,113,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.8378,0.5022,111,111,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.5143,0.1935,70,70,0.5793,0.6000,alternate:66;opposite:44,model_gap
leaf_shape,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.6386,0.4167,83,83,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.4717,0.0159,106,106,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.9326,0.2238,89,89,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.5000,-0.2000,6,6,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.8545,0.0000,55,55,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,K1_gpt-5.4_all-traits,gpt-5.4,model_vs_roni,0.7818,0.3231,110,110,0.6779,0.7207,short:80;long:31,model_gap
